#detector	x	y
S1-1	93372.97104	7502925.619
S1-2	93412.52685	7502949.967
S1-3	93457.17438	7502976.669
S1-4	93499.82062	7503001.099
S1-5	93542.37895	7503028.855
S1-6	93586.08484	7503052.203
S1-7	93625.61193	7503077.66
S1-8	93669.25939	7503103.225
S1-9	93710.81753	7503129.845
S1-10	93753.43519	7503155.383
S2-1	93355.28655	7502970.643
S2-2	93402.0529	7502995.183
S2-3	93442.52162	7503023.993
S2-4	93484.13792	7503048.396
S2-5	93525.66632	7503076.125
S2-6	93569.40168	7503098.364
S2-7	93610.95968	7503124.984
S2-8	93653.57721	7503150.523
S2-9	93695.1648	7503176.033
S2-10	93733.63297	7503202.571
S3-1	93330.18604	7503023.239
S3-2	93370.65474	7503052.05
S3-3	93416.33262	7503078.779
S3-4	93458.00775	7503100.965
S3-5	93499.62431	7503125.367
S3-6	93543.27178	7503150.933
S3-7	93585.91865	7503175.363
S3-8	93627.53557	7503199.765
S3-9	93671.24208	7503223.113
S3-10	93715.94946	7503247.596
S4-1	93308.23431	7503073.699
S4-2	93355.00096	7503098.238
S4-3	93397.61811	7503123.777
S4-4	93436.1738	7503146.989
S4-5	93480.85135	7503172.582
S4-6	93524.46961	7503199.257
S4-7	93564.02638	7503223.605
S4-8	93609.73439	7503249.225
S4-9	93656.53128	7503272.654
S4-10	93697.17714	7503294.812
S5-1	93293.58104	7503121.023
S5-2	93335.0507	7503150.97
S5-3	93375.49044	7503180.89
S5-4	93418.01983	7503209.755
S5-5	93462.63886	7503237.566
S5-6	93505.13921	7503267.54
S5-7	93546.66831	7503295.268
S5-8	93590.19904	7503325.269
S5-9	93631.72842	7503352.998
S5-10	93674.22938	7503382.971
S6-1	93270.68711	7503168.129
S6-2	93314.21703	7503198.13
S6-3	93357.86452	7503223.697
S6-4	93395.30233	7503250.208
S6-5	93436.80188	7503279.046
S6-6	93479.33167	7503307.911
S6-7	93518.68333	7503340.021
S6-8	93558.1525	7503367.695
S6-9	93599.68197	7503395.424
S6-10	93640.24016	7503420.907
S7-1	93232.28318	7503217.043
S7-2	93269.86759	7503238.011
S7-3	93313.45645	7503265.795
S7-4	93355.95667	7503295.769
S7-5	93396.48493	7503322.362
S7-6	93438.04339	7503348.983
S7-7	93478.54257	7503376.684
S7-8	93519.10055	7503402.168
S7-9	93558.54057	7503430.951
S7-10	93601.15899	7503456.49
S8-1	93213.59737	7503260.932
S8-2	93246.0902	7503279.545
S8-3	93288.61972	7503308.411
S8-4	93328.1472	7503333.868
S8-5	93369.67627	7503361.598
S8-6	93410.058	7503393.735
S8-7	93451.67539	7503418.137
S8-8	93493.26356	7503443.649
S8-9	93535.79394	7503472.514
S8-10	93577.4117	7503496.916
S9-1	93195.94157	7503304.848
S9-2	93237.67589	7503324.816
S9-3	93277.11528	7503353.599
S9-4	93320.76322	7503379.166
S9-5	93358.02532	7503412.33
S9-6	93397.40645	7503443.331
S9-7	93437.93519	7503469.924
S9-8	93477.31661	7503500.925
S9-9	93517.69895	7503533.062
S9-10	93554.99116	7503565.117
S10-1	93176.19614	7503349.818
S10-2	93218.90195	7503372.031
S10-3	93261.40237	7503402.005
S10-4	93303.01962	7503426.408
S10-5	93341.39996	7503456.273
S10-6	93377.60287	7503490.519
S10-7	93413.95266	7503519.221
S10-8	93455.39439	7503550.276
S10-9	93496.86561	7503580.223
S10-10	93535.21735	7503611.196
