# Detector	X	Y
S1-1	93372.2376	7502924.113
S1-2	93411.79341	7502948.461
S1-3	93456.44093	7502975.164
S1-4	93499.08716	7502999.594
S1-5	93541.6455	7503027.35
S1-6	93585.35138	7503050.698
S1-7	93624.87846	7503076.154
S1-8	93668.52593	7503101.72
S1-9	93710.08406	7503128.339
S1-10	93752.70172	7503153.877
S2-1	93354.5531	7502969.138
S2-2	93401.31945	7502993.677
S2-3	93441.78816	7503022.488
S2-4	93483.40446	7503046.891
S2-5	93524.93285	7503074.62
S2-6	93568.66821	7503096.859
S2-7	93610.22621	7503123.479
S2-8	93652.84373	7503149.017
S2-9	93694.43132	7503174.528
S2-10	93732.89949	7503201.066
S3-1	93329.45259	7503021.733
S3-2	93369.92128	7503050.544
S3-3	93415.59916	7503077.274
S3-4	93457.27429	7503099.459
S3-5	93498.89084	7503123.862
S3-6	93542.53831	7503149.427
S3-7	93585.18517	7503173.857
S3-8	93626.80209	7503198.259
S3-9	93670.5086	7503221.607
S3-10	93715.21598	7503246.091
S4-1	93307.50085	7503072.193
S4-2	93354.2675	7503096.732
S4-3	93396.88464	7503122.271
S4-4	93435.44033	7503145.484
S4-5	93480.11787	7503171.077
S4-6	93523.73613	7503197.751
S4-7	93563.2929	7503222.099
S4-8	93609.00091	7503247.719
S4-9	93655.79779	7503271.149
S4-10	93696.44365	7503293.306
S5-1	93292.84757	7503119.517
S5-2	93334.31722	7503149.464
S5-3	93374.75696	7503179.384
S5-4	93417.28635	7503208.249
S5-5	93461.90538	7503236.06
S5-6	93504.40572	7503266.034
S5-7	93545.93481	7503293.763
S5-8	93589.46554	7503323.764
S5-9	93630.99492	7503351.492
S5-10	93673.49587	7503381.465
S6-1	93269.95363	7503166.623
S6-2	93313.48355	7503196.625
S6-3	93357.13104	7503222.191
S6-4	93394.56884	7503248.703
S6-5	93436.06839	7503277.54
S6-6	93478.59817	7503306.406
S6-7	93517.94983	7503338.515
S6-8	93557.419	7503366.189
S6-9	93598.94847	7503393.918
S6-10	93639.50665	7503419.402
S7-1	93231.5497	7503215.537
S7-2	93269.13411	7503236.505
S7-3	93312.72296	7503264.289
S7-4	93355.22318	7503294.264
S7-5	93395.75143	7503320.857
S7-6	93437.30989	7503347.477
S7-7	93477.80906	7503375.179
S7-8	93518.36705	7503400.663
S7-9	93557.80706	7503429.446
S7-10	93600.42548	7503454.984
S8-1	93212.86388	7503259.426
S8-2	93245.35671	7503278.04
S8-3	93287.88623	7503306.905
S8-4	93327.4137	7503332.363
S8-5	93368.94277	7503360.092
S8-6	93409.3245	7503392.229
S8-7	93450.94188	7503416.632
S8-8	93492.53005	7503442.143
S8-9	93535.06042	7503471.008
S8-10	93576.67818	7503495.41
S9-1	93195.20807	7503303.342
S9-2	93236.94239	7503323.31
S9-3	93276.38178	7503352.094
S9-4	93320.02972	7503377.66
S9-5	93357.29181	7503410.825
S9-6	93396.67294	7503441.826
S9-7	93437.20168	7503468.419
S9-8	93476.5831	7503499.419
S9-9	93516.96543	7503531.556
S9-10	93554.25763	7503563.611
S10-1	93175.46264	7503348.312
S10-2	93218.16845	7503370.525
S10-3	93260.66886	7503400.5
S10-4	93302.28611	7503424.903
S10-5	93340.66645	7503454.768
S10-6	93376.86935	7503489.014
S10-7	93413.21914	7503517.715
S10-8	93454.66086	7503548.77
S10-9	93496.13209	7503578.717
S10-10	93534.48382	7503609.69
C1-1	94374.94007	7506292.645
C1-2	94414.90902	7506262.631
C1-3	94455.9373	7506231.535
C1-4	94495.90592	7506201.521
C1-5	94536.90464	7506171.534
C1-6	94576.90215	7506140.411
C1-7	94617.90054	7506110.424
C1-8	94657.8685	7506080.41
C1-9	94697.8363	7506050.395
C1-10	94738.8634	7506019.299
C2-1	94408.00351	7506329.023
C2-2	94447.97245	7506299.009
